producto,descripcion,unidad,cantidad,importe
AL8020-11,ALAMBRE 8020 CAL.11,MT,348,21000
AL8020-13,ALAMBRE 8020  CAL.13,MT,184,7040
AL8020-16,ALAMBRE 8020 CAL.16,M,46,895
AL8020-20,ALAMBRE 8020 CAL.20,MT,789.032,6223.83
AL8020-23,ALAMBRE 8020 CAL.23,MT,4039.455,15847.01
AL8020-24,ALAMBRE 8020 CAL.24,MT,1875.465,5942.7
AL8020-26,ALAMBRE 8020 CAL.26,MT,5645.268,11362.68
AL8020-27,ALAMBRE 8020 CAL.27,MT,8014.193,12903.06
AL8020-28,ALAMBRE 8020 CAL.28,MT,2996,3900
AL8020-29,ALAMBRE 8020 CAL.29,MT,12484.71,13015
ALDSD-19,ALAMBRE DSD CAL.19,M,1229.76,2764.03
ALDSD-20,ALAMBRE DSD CAL.20,M,1544.336,2871.41
ALDSD-5,ALAMBRE DSD CAL.5,M,21.2,1097.1
ALEK14,"ELEMENTO TERMOPAR TIPO K"" CAL.14""",MT,115,9660
ALEK8,"ELEMENTO TERMOPAR TIPO K"" CAL.8""",MT,60,19140
CABFV-10200°,CABLE FV C/SILICON CAL.10 200°,MT,100,2637
CABFV-12200°,CABLE FV C/SILICON CAL.12 200°,MT,100,1768
CABFV-12250°,CABLE FV CAL.12-250°,MT,700,20579
CABFV-14250°,CABLE FV CAL.14-250°,MT,300,6032
CABFV-16250°,CABLE FV CAL.16-250°,MT,200,2870
CABFV-20250°,CABLE FV CAL.20-250°,M,100,895
CABFVNP-12,CABLE FV CAL.12-500°,MT,200,16008
CABFVNP-14,CABLE FV CAL.14-500°,MT,300,16200
CABFVNP-8,CABLE FV CAL.8-500°,MT,200,34096
CABFVS14,CABLE FV C/SILICON CAL.14 200°,M,100,1233
CER0033,CERAMICO PASA CABLE 13MM,pz,500,7500
CERCAF-1/4,CERAMICO CAFE P/CARTUCHO 1/4X10 CM 5.6 Ø,PZ,1000,10000
CERCAR 1/2,"CERAMICO P/CARTUCHO 6 BARR 1/2""	TUS""",PZ,375,2625
CERCAR 5/8,CERAMICO 12.5MMØX15CM 7 BAR 2.8MMØ,PZ,1100,8900
CIFV0001,CINTA FIV AISLANTE  TUK 12 MM,PZ,38,7980
CIFV0002,CINTA FIV AISLANTE TUK 18 MM,PZ,14,4480
CIN803.18X0.100,CINTA NICROMEL 3.18X0.100X4 OHM,M,860,5410
CIN803.1X.254,CINTA NICROMEL 3.1X0.254X1.4 OHM,M,1285.76,21737.38
CIN803.1X0.254,CINTA NICROMEL 3.1X0.254X1.4 OHM,M,214,5410
CIN803.90X0.127,CINTA NICROMEL 3.9X0.127X2.3 OHM,M,251,2705
CIN804.70X.203,CINTA NICROMEL 4.7X0.203X1.2 OHM,M,214,6778
ESPGFVS-1/4,"ESPAGUETI FV C/SILICON 250° 1/4""(6mm)",M,20,192
"ESPGFVS-1/8""","ESPAGUETI FV C/SILICON 250° 1/8""(3mm)",M,20,90
FOPI220,FOCO PILOTO 220V = 240V,PZ,50,250
HUSI3/4X3/8,"HULE SILICON 3/4"" X 3/8""",M,2,190
HUSIRJ1/2X1/4,"HULE SILICON ROJO 1/2X1/4""	TUS""",MT,29,1160
INDAM127V,INDICADOR AMARILLO 127V,PZ,15,315
KULKA8PARES,KULKA 8 PARES 30 AMPERES,PZ,10,600
OXIMAGCAR,OXIDO DE MAGNESIO P/CARTUCHOS BLEND 8221,KG,200,14800
PERCER-517,PERLA CERAMICA MOD 517,PZ,3000,450
PERCER-568,PERLA CERAMICA MOD 568,PZ,2000,300
PERCER 3620,PERLA CERAMICA MOD 3620,PZ,3000,720
REST-FLEX40OHMS,RESISTENCIA FLEXIBLE DE 40 OHMS,M,15,450
TE0025,TERMOSTATO CAEM B/C 30° A 110°C,PZ,20,3017.3
TE0026,TERMOSTATO CAEM B/C 50° A 300°C,PZ,20,3017.2
TE0033,TERMOSTATO ULANET 119,PZ,20,800
TE0052,TERMOSTATO R.SHAW B/C 15° A 120°,PZ,11,10905.18
TE0054,TERMOSTATO R. SHAW B/C 50° A 300°C,PZ,16,15862.08
TE0062,TERMOSTATO INFINITO 120V,PZ,40,10862
TE0063,TERMOSTATO INFINITO 240V,PZ,20,4525.8
TM0059,TERMOSTATO 3 CALORES,PZ,8,862.08
TOPE10-12,TOPE A.T. CAL.12-10,PZ,300,990
TOPE14-16,TOPE A.T. CAL 16-14,PZ,800,2640
TOPE18-22,TOPE A.T. CAL.18-22,PZ,20,66
TUBCUARZO1/4,"TUBO DE CUARZO OPACO 1/4 ""TUS""",M,1,206
TUBOASTREADO,TUBO ASTREADO 120/2 øEXT15MMx7MM INTX30L,pz,5,320
VA00125,CINTA NIQUEL 9.5X102.DE ESPESOR,M,30,1016.7
VA00187,TUBO CERAMICO LISO 25mmx20mmX30cms LONG,PZ,5,645
VA00223,CABLE CON SILICON CALIBRE 4,M,5,735
VA00303,RES. T/DISCO 43MMINT 100MMEXT 540W 120V,PZ,2,474
VA00346,CINTA NICROMEL 7.94 X 0.203,M,1,3389
VA00354,REPUESTO P/RESISTENCIA MODELO HAS-014K,PZ,2,1240
VA00367,REPUESTO P/PISTOLA MASTER MOD. HG-301A,PZ,4,2480
VA00369,MANGUERA DE SILICON 7MMøINT X 3/8 EXT,PZ,10,700
VAR0010,CLAVIJA HEMBRA T/INDUSTRIAL P/CERAMICA,PZ,10,750
ZAP0028,ZAPATA ESPADA A.T CAL 12-10,PZ,500,2000
CABFV-8,CABLE FV CAL.8-250°,MT,100,7920
CABFVNP-12,CABLE FV CAL.12-500°,MT,100,7370
CABFVNP-14,CABLE FV CAL.14-500°,MT,200,9960
CABLEK20,CABLE P/TERMOPAR MALLA TK CAL.20,MT,200,7180
CABP1003HILOSM,CABLE P/PT100 3 HILOS MALLA CAL.24,M,400,9110
CABPT100 3 HILOS,CABLE P/PT100 3 HILOS FORRO TEFLON CAL24,MT,300,5620
CABTERFVCK-16,"CABLE P/TERMOPAR FV TIPO K"" CAL.16""",M,300,28920
CABTERFVCK-20,"CABLE P/TERMOPAR FV TIPO K"" CAL.20""",M,200,4900
CABTERJPVC-20,CABLE P/TERMOPAR PVC TJ CAL.20,M,200,3240
CABTERKPVC-20,CABLE P/TERMOPAR PVC TK CAL.20,M,400,9160
CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,200,4940
CABTERTJ-20,CABLE P/TERMOPAR TEFLON  TJ CAL.20,M,200,6000
CABTERTJ-24,CABLE P/TERMOPAR MALLA TJ CAL. 24,MT,100,1460
CABTERTPVC-20,CABLE P/TERMOPAR PVC TT CAL.20,M,1100,26730
CERAISON-14-28,CERAMICO OVALADO P/ ELEMENTO C-14- 2 BAR,PZ,300,2109
CORTETUBO,CORTE DE TUBO,pz,5,60
RIRA0031,RESISTENCIA INF. 400W 230V,PZ,6,3552
SENPT100,BULBOS RTD PT-100 CLASE B,PZ,250,12165
SOGUI-3/16,"SOGUILLA 3/16"" TRENZADA ESTAÑADA INOX",MT,100,3120
TE0093,TERMOSTATO P/PRECALENTADOR SIN CAJA,pz,6,1578
TUINC5/8,"TUBO TIPO ""S"" INCOLOY 5/8"" Ø",MT,54.9,15097.5
VA00380,CABLE CALEFACTOR MALLA METALICA 230V,M,14,10080
AL8020-10,ALAMBRE 8020 CAL.10,M,69,5216.55
AL8020-11,ALAMBRE 8020 CAL.11,MT,290,19495.4
AL8020-12,ALAMBRE 8020 CAL.12,MT,355.2,16692.96
AL8020-14,ALAMBRE 8020 CAL.14,MT,783,22605.05
AL8020-15,ALAMBRE 8020 CAL.15,M,124.1,2778.43
AL8020-16,ALAMBRE 8020 CAL.16,M,1536.4,27293.98
AL8020-18,ALAMBRE 8020 CAL.18,MT,626.4,6661.02
AL8020-19,ALAMBRE 8020 CAL.19,MT,3328.56,28195.12
AL8020-20,ALAMBRE 8020 CAL.20,MT,5630.64,36912.18
AL8020-21,ALAMBRE 8020 CAL.21,MT,5256,22478.43
AL8020-22,ALAMBRE 8020 CAL.22,MT,14892.84,62577.22
AL8020-23,ALAMBRE 8020 CAL.23,MT,8197.95,31290.15
AL8020-24,ALAMBRE 8020 CAL.24,MT,4161.83,12715.49
AL8020-25,ALAMBRE 8020 CAL.25,MT,3907.2,9704.69
AL8020-26,ALAMBRE 8020 CAL.26,MT,12056.76,24202.54
AL8020-28,ALAMBRE 8020 CAL.28,MT,11984,17927.28
AL8020-30,ALAMBRE 8020 CAL.30,MT,17542.26,26802.83
ALDSD-12,ALAMBRE DSD CAL.12,M,1850,12092.2
ALDSD-14,ALAMBRE DSD CAL.14,M,275,990
ALDSD-15,ALAMBRE DSD CAL.15,M,246,744.63
ALDSD-19,ALAMBRE DSD CAL.19,M,1243.2,1172.16
ALDSD-20,ALAMBRE DSD CAL.20,M,1656.9,1247.4
ALDSD-6,ALAMBRE DSD CAL.6,M,402.5,8729.56
ALDSD-8,ALAMBRE DSD CAL.8,MT,2440.5,38055.85
APAGADOR RATA,APAGADOR COLA DE RATA 600,PZ,20,709.2
BCERCOCM2,BLOCK CONEXIÒN P/CABEZA MARINA 2 TERMINA,PZ,20,800.8
BCERCOCM4,BLOCK CONEXIÓN P/ CABEZA MAR 4 TERM,PZ,15,686.4
BUS3/4X1/2X1 1/2,"BUSHING DE LATON 3/4X1/2X1 1/2 ""TUS""",PZ,100,4811
BUSLAT1/2X5/16X1,"BUSHING DE LATON  1/2X5/16X1""	TUS""",PZ,250,7807.5
