fecha,docto,folio,tipo_mov,alm_,entradas,salidas,existencias,costo_unit,cant_costear,capas,codigo_proveedor,unidad,descripcion,stock_minimo,tipo_costeo,control_almacen,stock_maximo
2023-07-19,PP04464,67202,Salida a fáb.,1,0,84.0,312.1825,11.42567,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-06-28,PP04391,66320,Salida a fáb.,1,0,87.0,403.1825,4.95,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-06-15,PP04379,65807,Salida a fáb.,1,0,38.0,90.1825,11.48931,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-06-15,PP04377,65805,Salida a fáb.,1,0,87.0,128.1825,8.3324,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-06-14,PP04321,65679,Salida a fáb.,1,0,198.0,215.1825,4.95,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-05-15,PP04285,64297,Salida a fáb.,1,0,84.0,173.1825,11.48931,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-04-19,PP04234,63334,Salida a fáb.,1,0,168.0,257.1825,11.48931,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2022-12-13,PP03900,58060,Salida a fáb.,1,0,174.0,447.99,6.20525,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2022-12-01,PP03869,57664,Salida a fáb.,1,0,87.0,226.99,6.20525,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2022-11-18,PP03840,57223,Salida a fáb.,1,0,87.0,313.99,6.20525,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2022-10-28,PP03794,56387,Salida a fáb.,1,0,10.0,400.99,6.20525,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2022-10-19,OT00013,55827,Salida a fáb.,1,0,0.51,410.99,6.20525,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2022-10-03,PP03716,54771,Salida a fáb.,1,0,4.0,411.5,6.20525,0,0,ALDSD-12,M,ALAMBRE DSD CAL.12,0.0,P E P S,MP,0.0
2023-07-24,PP04480,67422,Salida a fáb.,1,0,12.0,1501.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-19,PP04465,67204,Salida a fáb.,1,0,3.0,513.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-17,PP04425,67087,Salida a fáb.,1,0,6.0,516.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-17,PP04460,67076,Salida a fáb.,1,0,240.0,522.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-14,PP04457,67034,Salida a fáb.,1,0,30.0,762.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-14,PP04455,67028,Salida a fáb.,1,0,8.0,792.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-14,PP04455,67028,Salida a fáb.,1,0,16.0,800.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-14,PR00190,67020,Salida a fáb.,1,0,2.0,816.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-14,PP04453,67018,Salida a fáb.,1,0,45.0,818.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-11,PP04440,66870,Salida a fáb.,1,0,1.0,863.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-11,PP04440,66870,Salida a fáb.,1,0,3.0,864.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-07-06,PP04404,66694,Salida a fáb.,1,0,18.0,867.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-30,PP04374,66477,Salida a fáb.,1,0,45.0,885.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-27,PP04393,66262,Salida a fáb.,1,0,4.0,930.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-27,PP04393,66262,Salida a fáb.,1,0,8.0,934.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-16,PP04343,65853,Salida a fáb.,1,0,2.0,942.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-15,PP04360,65803,Salida a fáb.,1,0,20.0,944.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-15,PP04370,65790,Salida a fáb.,1,0,6.0,964.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-15,PR00182,65786,Salida a fáb.,1,0,24.0,970.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-06-02,PBACARTUCHO,65287,Salida a fáb.,1,0,2.0,994.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-31,PR00180,65119,Salida a fáb.,1,0,3.0,996.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-31,PR00180,65119,Salida a fáb.,1,0,6.0,999.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-31,PP04319,65113,Salida a fáb.,1,0,3.0,1005.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-31,PP04319,65113,Salida a fáb.,1,0,6.0,1008.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-30,PP04310,65045,Salida a fáb.,1,0,4.0,1014.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-30,PP04310,65045,Salida a fáb.,1,0,8.0,1018.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-30,PP03734,65043,Salida a fáb.,1,0,9.0,1026.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-30,PP04268,65040,Salida a fáb.,1,0,20.0,1035.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-23,PP04278,64696,Salida a fáb.,1,0,3.0,1055.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-23,PP04278,64696,Salida a fáb.,1,0,6.0,1058.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-23,PP04205,64684,Salida a fáb.,1,0,12.0,1064.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
2023-05-22,PP04188,64668,Salida a fáb.,1,0,3.0,1076.0,1.25,0,0,TAPLAST - 5/8,PZ,"TAPON DE PLASTICO PARA TUBO DE 5/8""Ø""",50.0,P E P S,G,500.0
