producto,descripcion,unidad,movimiento,fecha,costo_prom,existencias,cantidad,total_monto
ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,venta,03/08/2023,2.6085,783,12265,71884.01
ZAP0041,ZAPATA OJILLO A.T. CAL 10-12,PZ,compra,30/06/2023,2.6085,783,6500,16955.25
"CTE0.005*3""CA","CINTA TEFLON C/A 0.005""X3""",M,venta,11/07/2023,41.59718,66,7425,575574.54
"CTE0.005*3""CA","CINTA TEFLON C/A 0.005""X3""",M,compra,25/07/2023,41.59718,66,1683,68898.95
AL8020-26,ALAMBRE 8020 CAL.26,MT,venta,28/07/2023,2.15595,5699.828,4969.7,23914.46
AL8020-26,ALAMBRE 8020 CAL.26,MT,compra,25/05/2023,2.15595,5699.828,12056.76,24202.54
ZAP0004,ZAPATA OJILLO A.T. DESNUDA CAL 14-16,PZ,venta,14/07/2023,1.8991,539,4835,19545.85
ZAP0004,ZAPATA OJILLO A.T. DESNUDA CAL 14-16,PZ,compra,30/06/2023,1.8991,539,2000,3798.2
ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,venta,08/08/2023,5.0339,203,4319,47770.9
ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,compra,06/03/2023,5.0339,203,2100,10571.19
AL8020-24,ALAMBRE 8020 CAL.24,MT,venta,20/06/2023,12.27293,65.6674,4015.42,17148.42
AL8020-24,ALAMBRE 8020 CAL.24,MT,compra,25/04/2023,12.27293,65.6674,4161.83,12715.49
CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,venta,09/08/2023,17.35039,16.25,3337,144575.89
CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,compra,30/06/2023,17.35039,16.25,2000,55060.54
"CTE0.005*2""CAM","CINTA TEFLON C/A 0.005""X2""",M,venta,08/08/2023,28.3951,197,3241.7,168614.73
"CTE0.005*2""CAM","CINTA TEFLON C/A 0.005""X2""",M,compra,17/05/2023,28.3951,197,1386,37882.99
CTE0.0051C/AD,"CINTA TEFLON C/A 0.005X1""",M,venta,07/08/2023,14.42422,231,3007,81344.95
CTE0.0051C/AD,"CINTA TEFLON C/A 0.005X1""",M,compra,09/06/2023,14.42422,231,1254,17187.98
TPV0020,"CLAVIJA MACHO MINI T""""",PZ,venta,02/08/2023,24.31,487,2922,125174.75
TPV0020,"CLAVIJA MACHO MINI T""""",PZ,compra,14/07/2023,24.31,487,1920,48906
ALDSD-19,ALAMBRE DSD CAL.19,M,venta,26/04/2023,1.67689,2725.3667,2869.88,9847.44
ALDSD-19,ALAMBRE DSD CAL.19,M,compra,24/07/2023,1.67689,2725.3667,1243.2,1172.16
AL8020-20,ALAMBRE 8020 CAL.20,MT,venta,08/08/2023,6.92972,1222.8348,2754.7866,32448.39
AL8020-20,ALAMBRE 8020 CAL.20,MT,compra,14/07/2023,6.92972,1222.8348,5630.64,36912.18
CABFV-12250Â°,CABLE FV CAL.12-250Â°,MT,venta,09/08/2023,28.16096,179.5,2658,200184.2
CABFV-12250Â°,CABLE FV CAL.12-250Â°,MT,compra,31/07/2023,28.16096,179.5,700,20579
ESPG-12,ESPAGUETI F.V. C/ACRILICO 12MM Ã,MT,venta,08/08/2023,25.2036,13,2476,82570.44
ESPG-12,ESPAGUETI F.V. C/ACRILICO 12MM Ã,MT,compra,24/07/2023,25.2036,13,1350,21109.5
AL8020-23,ALAMBRE 8020 CAL.23,MT,venta,08/08/2023,4.15387,4489.437,2405.8,17237.3
AL8020-23,ALAMBRE 8020 CAL.23,MT,compra,14/07/2023,4.15387,4489.437,8197.95,31290.15
